Date,Close
03-Jan-22,59183.22
04-Jan-22,59855.93
05-Jan-22,60223.15
06-Jan-22,59601.84
07-Jan-22,59744.65
10-Jan-22,60395.63
11-Jan-22,60616.89
12-Jan-22,61150.04
13-Jan-22,61235.3
14-Jan-22,61223.03
17-Jan-22,61308.91
18-Jan-22,60754.86
19-Jan-22,60098.82
20-Jan-22,59464.62
21-Jan-22,59037.18
24-Jan-22,57491.51
25-Jan-22,57858.15
27-Jan-22,57276.94
28-Jan-22,57200.23
31-Jan-22,58014.17
01-Feb-22,58862.57
02-Feb-22,59558.33
03-Feb-22,58788.02
04-Feb-22,58644.82
07-Feb-22,57621.19
08-Feb-22,57808.58
09-Feb-22,58465.97
10-Feb-22,58926.03
11-Feb-22,58152.92
14-Feb-22,56405.84
15-Feb-22,58142.05
16-Feb-22,57996.68
17-Feb-22,57892.01
18-Feb-22,57832.97
21-Feb-22,57683.59
22-Feb-22,57300.68
23-Feb-22,57232.06
24-Feb-22,54529.91
25-Feb-22,55858.52
28-Feb-22,56247.28
02-Mar-22,55468.9
03-Mar-22,55102.68
04-Mar-22,54333.81
07-Mar-22,52842.75
08-Mar-22,53424.09
09-Mar-22,54647.33
10-Mar-22,55464.39
11-Mar-22,55550.3
14-Mar-22,56486.02
15-Mar-22,55776.85
16-Mar-22,56816.65
17-Mar-22,57863.93
21-Mar-22,57292.49
22-Mar-22,57989.3
23-Mar-22,57684.82
24-Mar-22,57595.68
25-Mar-22,57362.2
28-Mar-22,57593.49
29-Mar-22,57943.65
30-Mar-22,58683.99
31-Mar-22,58568.51
01-Apr-22,59276.69
04-Apr-22,60611.74
05-Apr-22,60176.5
06-Apr-22,59610.41
07-Apr-22,59034.95
08-Apr-22,59447.18
11-Apr-22,58964.57
12-Apr-22,58576.37
13-Apr-22,58338.93
18-Apr-22,57166.74
19-Apr-22,56463.15
20-Apr-22,57037.5
21-Apr-22,57911.68
22-Apr-22,57197.15
25-Apr-22,56579.89
26-Apr-22,57356.61
27-Apr-22,56819.39
28-Apr-22,57521.06
29-Apr-22,57060.87
02-May-22,56975.99
04-May-22,55669.03
05-May-22,55702.23
06-May-22,54835.58
09-May-22,54470.67
10-May-22,54364.85
11-May-22,54088.39
12-May-22,52930.31
13-May-22,52793.62
16-May-22,52973.84
17-May-22,54318.47
18-May-22,54208.53
19-May-22,52792.23
20-May-22,54326.39
23-May-22,54288.61
24-May-22,54052.61
25-May-22,53749.26
26-May-22,54252.53
27-May-22,54884.66
30-May-22,55925.74
31-May-22,55566.41
01-Jun-22,55381.17
02-Jun-22,55818.11
03-Jun-22,55769.23
06-Jun-22,55675.32
07-Jun-22,55107.34
08-Jun-22,54892.49
09-Jun-22,55320.28
10-Jun-22,54303.44
13-Jun-22,52846.7
14-Jun-22,52693.57
15-Jun-22,52541.39
16-Jun-22,51495.79
17-Jun-22,51360.42
20-Jun-22,51597.84
21-Jun-22,52532.07
22-Jun-22,51822.53
23-Jun-22,52265.72
24-Jun-22,52727.98
27-Jun-22,53161.28
28-Jun-22,53177.45
